epoch,eval_average,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science
0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.026801801791005657,0.0,0.0,0.0,0.1249999999521309,0.0090090090028974
4.0,0.09714935566155158,0.0,0.0,0.0,0.2664776753586139,0.219269102949144
4.5,0.1677504172540465,0.0,0.0,0.0,0.3506311359961098,0.4881209502741226
5.0,0.18936216657898525,0.0,0.0173535791662169,0.0,0.4268719383697212,0.5025853153589881
5.5,0.23791819862538915,0.0,0.1518578351766636,0.0087591240847115,0.4735336194073218,0.5554404144582488
6.0,0.2885831777571843,0.0,0.2727272726774958,0.0901126407747569,0.5312954875781083,0.5487804877555604
6.5,0.34197218284087255,0.0149999999913974,0.3053097344632547,0.2453531598044977,0.5557206537395263,0.5884773662056867
7.0,0.3845642794727581,0.0669856459172409,0.336820083632288,0.3871866294765878,0.5462620280778735,0.5855670102598006
7.5,0.44050537745929325,0.1351351350963596,0.3828920569769811,0.4676882078118693,0.5885931558438424,0.6282183315674138
8.0,0.476759320079527,0.2642642642152675,0.4061224489300721,0.4946524063675223,0.585767790212611,0.6329896906721619
8.5,0.5050907816231829,0.3324675324174492,0.4399596366811597,0.5101373446203372,0.6077684691048987,0.6351209252920698
9.0,0.5242332857023335,0.3325301204321637,0.4701114487853902,0.538255033507416,0.6255707762060021,0.6546990495806955
9.5,0.5325700356769124,0.4237485447700705,0.443113772405792,0.5492498368717106,0.6013771996442113,0.645360824692778
10.0,0.5501638369030741,0.4364060676284333,0.4612326043245007,0.5569620252668874,0.6386554621351358,0.6575630251604129
10.5,0.5618351181406539,0.4300111981592338,0.4914744232204473,0.5921938088332462,0.6195899771712708,0.6759061833190715
11.0,0.5693573681374977,0.4598214285224111,0.5065590312321049,0.5767940978712282,0.6205287713342745,0.6830835117274695
11.5,0.5787250160276562,0.4760820045065431,0.4999999999505006,0.5955435516045984,0.6352395671835618,0.6867599568930773
12.0,0.5838168465653044,0.4922394678002851,0.4910536778831428,0.6160108547670952,0.6432474628697036,0.6765327695062955
